AUTO_ID;MERK;BOUWJAAR;KILOMETER_STAND;VRAAGPRIJS;EXTERIEUR_KLEUR;BRANDSTOF;CARROSSERIEVORM;MODEL
48429999;BMW;2005;257226;7950;GRIJS;BENZINE;STATIONWAGEN;3-SERIE
48430014;VOLVO;2007;345223;4499;GRIJS;DIESEL;STATIONWAGEN;V70
48430019;BMW;2005;568708;2750;GRIJS;DIESEL;STATIONWAGEN;5-SERIE
48430021;VOLVO;2000;417382;1999;GROEN;BENZINE;STATIONWAGEN;V70
48430025;BMW;2006;205971;4999;BLAUW;BENZINE;HATCHBACK;1-SERIE
48430028;BMW;2010;199353;12900;GRIJS;DIESEL;SEDAN;5-SERIE
48430029;CHEVROLET;2005;179481;1950;ZWART;BENZINE;HATCHBACK;LACETTI
48430038;BMW;2007;227776;7900;GRIJS;BENZINE;STATIONWAGEN;3-SERIE
48430040;AUDI;2012;203617;16900;BLAUW;BENZINE;STATIONWAGEN;A6
48430043;BMW;2008;232627;5950;GRIJS;BENZINE;STATIONWAGEN;3-SERIE
48430065;PEUGEOT;2012;206674;3999;GRIJS;DIESEL;HATCHBACK;207
48430071;SUZUKI;2009;66572;3999;GRIJS;BENZINE;HATCHBACK;ALTO
48430087;BMW;2005;288214;5900;ZWART;BENZINE;STATIONWAGEN;5-SERIE
48430090;BMW;2005;148787;24900;GRIJS;BENZINE;COUPE;M6
48430091;RENAULT;2002;214570;1950;ZWART;BENZINE;HATCHBACK;CLIO
48430098;BMW;2005;512310;2950;BLAUW;DIESEL;SEDAN;5-SERIE
48430113;CHEVROLET;2006;274478;4499;GROEN;BENZINE;SUV;TRAILBLAZER
48430119;VOLVO;2007;266579;5900;GRIJS;DIESEL;CABRIOLET;C70
48430120;OPEL;2000;202089;749;GRIJS;BENZINE;HATCHBACK;CORSA
48430126;SKODA;2011;170327;5900;ZWART;DIESEL;HATCHBACK;OCTAVIA
48430134;OPEL;2001;253341;1249;GROEN;BENZINE;MPV;ZAFIRA
48430146;MERCEDES-BENZ;2006;280744;8499;GRIJS;DIESEL;SUV;M-KLASSE
48430167;AUDI;2002;233363;4499;GRIJS;BENZINE;STATIONWAGEN;A4
48430181;OPEL;2003;127548;1749;BLAUW;BENZINE;HATCHBACK;CORSA
48430194;BMW;2008;149432;13950;ZWART;BENZINE;CABRIOLET;3-SERIE
48430216;SEAT;2000;202659;1749;BLAUW;BENZINE;SEDAN;TOLEDO
48430285;KIA;2014;93710;12900;ROOD;BENZINE;MPV;VENGA
48430320;KIA;2010;88656;7950;BLAUW;BENZINE;MPV;VENGA
